project,desc,category,priority,assign to
Smart Jewel,in Profit report Profit value and per wrong show,Report,Low,drashti
SJE Plus,object error,Support,V.Urgent,prakash
Smart Jewel,purchase book error,Support,high,prakash
Smart Jewel,labor invoice issue,Support,V.Urgent,shubham
Smart Jewel,report changes,Report,Low,drashti
Smart Jewel,peace out issue,Support,high,jaytur
Smart Jewel,sale order issue ,Support,V.Urgent,ashit
Smart Jewel,loss book issue in bag transaction issue,Support,high,sarika
Smart Jewel,installation,Support,V.Urgent,Jagruti
Smart Jewel,ask melting entry,Support,V.Urgent,shubham
Smart Jewel,report not open and report change,Report,Low,krishna
Smart Jewel,bag transaction issue,Support,V.Urgent,Sajeda
SJE Plus,Ledger Report issue,Report,Low,drashti
Smart Jewel,report issue,Report,Low,drashti
Smart Jewel,image not show in certificate,Support,V.Urgent,Sajeda
Smart Jewel,ledger amount issue,Support,high,krishna
Smart Jewel,bag generate image not show(uregent),Support,V.Urgent,krishna
Smart Jewel,print format correction,Report,Low,Jagruti
Smart Jewel,jewel code issue,Support,V.Urgent,prakash
Smart Jewel,Add new row in some reports alredy told drashti madam and report changes,Report,Low,ambrish
Smart Jewel,all report error show,Report,Low,Jagruti
Smart Jewel,invoice quotation issue,Report,Low,Jagruti
Smart Jewel,report issue,Report,Low,Heta
Smart Jewel,self broken error,Support,high,krishna
Smart Jewel,report show,Report,Low,sarika
Smart Jewel,purchase sale details,Support,high,chiranjiv
Smart Jewel,style report show,Report,Low,drashti
Smart Jewel,Report update,Report,Low,drashti
SJE Plus,tag mrp wrong show and material report add,Report,Low,drashti
SJE Plus,branch cancel issue,Support,high,sarika
Smart Jewel,Voucher Entry Issue,New Req,Med,sarika
Smart Jewel,export invoice report font change and some changes,Report,Low,drashti
Smart Jewel,Labour CHart Reliance ISsue,New Req,Med,sarika
Smart Jewel,tag printing issue,Support,high,vikas
Smart Jewel,slide show issue,Support,V.Urgent,gaurav
Smart Jewel,item issue,Support,V.Urgent,krishna
Smart Jewel,sales voucher issue,Support,V.Urgent,jaytur
Smart Jewel,department issue,Support,high,krishna
Smart Jewel,branch metal purity issue,Support,high,prakash
Smart Jewel,purchase invoice preview issue,Report,Low,shubham
Smart Jewel,cost sheet report change,Report,Low,drashti
Smart Jewel,loss recovery issue ,Support,V.Urgent,krishna
Smart Jewel,report error,Report,Low,Heta
Smart Jewel,in pg column some addition,Support,high,Sajeda
Smart Jewel,ledure balance issue,Support,V.Urgent,shubham
Smart Jewel,diamond quantity issue,Support,V.Urgent,ashit
Smart Jewel,module make (As Per Group Training),Support,high,krishna
SJE Plus,transaction issue,Support,high,shubham
Smart Jewel,gold chain issue,Support,V.Urgent,krishna
SJE Plus,purchase short key issue,Support,high,shubham
Smart Jewel,bag finish issue,Support,V.Urgent,ambrish
Smart Jewel,packing list quotation issue,Report,Low,drashti
Smart Jewel,recovery entry issue,Support,high,krishna
Smart Jewel,software close,Support,V.Urgent,yogita
Smart Jewel,some issue,Support,V.Urgent,sarika
Smart Jewel,Titan GC uploader Report issue,Report,Low,drashti
SJE Plus,entry save error,Support,high,krishna
Smart Jewel,Data Suspect,Support,V.Urgent,drashti
Smart Jewel,mail not send,Support,V.Urgent,Sajeda
Smart Jewel,bill issue,Support,V.Urgent,drashti
Smart Jewel,migration,Support,high,sarika
SJE Plus,settlement error,New Req,Med,sarika
Smart Jewel,hsn issue,Support,V.Urgent,krishna
Smart Jewel,ledger  issue(urgent),Report,Low,jaytur
SJE Plus,bar code printer sat,Support,high,Sajeda
SJE Plus,Packing List New Report create,Report,Low,drashti
SJE Plus,in report remarks column add,Report,Low,drashti
SJE Plus,sale issue,Support,V.Urgent,krishna
SJE Plus,New Report Create,Report,Low,chiranjiv
Smart Jewel,gst report show issue,Support,high,jaytur
Smart Jewel,installation,Support,high,yogita
SJE Plus,report issue,Report,Low,Heta
SJE Plus,software update,Support,high,yogita
SJE Plus,gst issue and account issue,Support,V.Urgent,Sajeda
Smart Jewel,job bag generate issue,Support,high,sarika
SJE Plus,item scan issue,Support,high,shubham
SJE Plus,gross weight net weight issue,Support,V.Urgent,krishna
SJE Plus,report path set,Report,Low,Sajeda
SJE Plus,collection issue,Support,V.Urgent,Sajeda
SJE Plus,bill settlement issue,Support,high,Sajeda
Smart Jewel,tag issue,Support,V.Urgent,vipul
Smart Jewel,software update,Support,V.Urgent,yogita
Smart Jewel,server change,Support,V.Urgent,Sajeda
Smart Jewel,in report igst issue and sql server installation,Report,Med,Jagruti
Smart Jewel,software hang,Support,V.Urgent,Sajeda
Smart Jewel,report figure not show,Report,Low,Jagruti
Smart Jewel,packing list issue,Report,Low,Heta
SJE Plus,image generate issue,Support,high,yogita
SJE Plus,software close,Support,high,Sajeda
SJE Plus,tag blank issue,Support,high,shubham
SJE Plus,quotation issue,Report,Low,drashti
Smart Jewel,last year balance carry forward issue,Support,high,yogita
Smart Jewel,repairing bag issue,Support,V.Urgent,vipul
Smart Jewel,purity change(urgent),Support,V.Urgent,vikas
Smart Jewel,make credit note,Report,Low,Jagruti
Smart Jewel,purchase issue,Support,V.Urgent,Sajeda
Smart Jewel,style inward issue(urgent),Support,V.Urgent,shubham
SJE Plus,sale bill edit issue,Report,Low,Heta
Smart Jewel,trial balance cash show issue,Support,high,shubham
SJE Plus,order material delete issue,Support,high,shubham
Smart Jewel,software close,Support,V.Urgent,Jagruti
SJE Plus,book type issue,Support,high,gaurav
Smart Jewel,report path not found error,Report,Low,shubham
SJE Plus,Report Create AS Discussion,Report,Low,chiranjiv
SJE Plus,bill issue,Support,high,shubham
Smart Jewel,software update,Support,V.Urgent,prakash
Smart Jewel,tag printing configuration issue,Report,Low,shubham
SJE Plus,software close,Support,high,Janvi
Smart Jewel,tag not show(urgent),Tag,V.Urgent,krishna
Smart Jewel,software close,Support,V.Urgent,yogita
Smart Jewel,In Sale Report Cost price wrong cal.,Report,Low,drashti
Smart Jewel,purchase hsn code not show,Support,V.Urgent,krishna
Smart Jewel,in report igst and cgst issue,Report,Med,shubham
Smart Jewel,self repair issue,Support,high,shubham
SJE Plus,Report Migration,Report,Low,Krupa
Smart Jewel,data restore (call tomorrow 10 am),Support,high,Sajeda
Smart Jewel,inward issue,Support,V.Urgent,gaurav
Smart Jewel,in report name and address changes,Report,Low,Jagruti
Smart Jewel,invoice diamond issue,Report,Low,Jagruti
Smart Jewel,on server excel download,Support,V.Urgent,Sajeda
Smart Jewel,bar code print issue,Report,Low,vipul
Smart Jewel,pg column add,Support,V.Urgent,Sajeda
SJE Plus,new report,Report,Low,shubham
SJE Plus,in bill purity issues,Support,high,sarika
SJE Plus,Bag transaction report changes,Report,Low,drashti
Smart Jewel,report changes,Report,Low,Heta
Smart Jewel,packing list changess And Importer Issue,Support,high,Heta
SJE Plus,bag history Report not show,Report,Low,drashti
SJE Plus,ledger issue,Report,Low,drashti
SJE Plus,Please Set a Reports Of Titan Vendor Costing And Upload Sheet Same as in EON ..,Report,Low,sarika
Smart Jewel,book add entry issue,Support,high,shubham
SJE Plus,report changes,Report,Low,Heta
Smart Jewel,Master Conference Done With Vikash Or Kalpesh,New Req,Med,sarika
Smart Jewel,Pd Issue Or Stylemaster Issue,bug,V.Urgent,sarika
Smart Jewel,Mani Jewel Settlement ISsue,bug,high,sarika
SJE Plus,Jobwork order item not save,Support,V.Urgent,drashti
Smart Jewel,importer not working,Support,high,krishna
Smart Jewel,jewelry  purchase option not show,Support,V.Urgent,shubham
SJE Plus,client wise due report amount issue,Report,Low,Sajeda
Smart Jewel,after new year generate entry issue,Support,high,sarika
Smart Jewel,in report gross weight and net weight add,Report,Low,drashti
SJE Plus,style master and sub category changes,Support,high,krishna
Smart Jewel,importer not connect,Support,V.Urgent,Sajeda
Smart Jewel,invoice terms edit ,Report,Low,Jagruti
Smart Jewel,ledger issue and repairing bag issue,Support,V.Urgent,krishna
Smart Jewel,excel issue,Report,Low,shubham
SJE Plus,report pint issue,Report,Low,jaytur
Smart Jewel,approval purchase print issue and tag issue,Report,Low,Jagruti
Smart Jewel,bag finalize issue(urgent for parcel send),Support,V.Urgent,krishna
Smart Jewel,tag print add,Tag,V.Urgent,prakash
Smart Jewel,installation,Support,V.Urgent,Heta
Smart Jewel,ask memo entry ,Support,V.Urgent,prakash
Smart Jewel,software update,Support,V.Urgent,Sajeda
SJE Plus,in report repairing book add,Report,Low,Sajeda
Smart Jewel,inward format show,Support,V.Urgent,sarika
Smart Jewel,i pad sync,Support,high,Sajeda
Smart Jewel,repair regular number stock - issue(Urgent),Support,V.Urgent,sarika
Smart Jewel,software close,Support,V.Urgent,chiranjiv
SJE Plus,ledger with stock report issue,Report,Low,Jagruti
SJE Plus,Sub category how to add ,Support,V.Urgent,drashti
Smart Jewel,layout changes,Support,high,shubham
Smart Jewel,order issue,Support,V.Urgent,Sajeda
Smart Jewel,Stone Pcs In minus issue,Support,V.Urgent,shubham
Smart Jewel,earing size issue,Support,high,vipul
Smart Jewel,softaware update,Support,V.Urgent,krishna
Smart Jewel,update error,Support,V.Urgent,shubham
Smart Jewel,installation,Support,V.Urgent,Jagruti
SJE Plus,gst add,Support,high,sarika
Smart Jewel,hard disk software start,Support,high,shubham
Smart Jewel,gold rate issue,Support,high,shubham
Smart Jewel,client master client search issue,Support,high,yogita
SJE Plus,book add,Support,V.Urgent,krishna
Smart Jewel,diamond size issue,Support,V.Urgent,Sajeda
Smart Jewel,gst not show,Support,V.Urgent,krishna
Smart Jewel,stock issue,Support,V.Urgent,Sajeda
Smart Jewel,Report changes,Report,Low,drashti
Smart Jewel,software hang,Support,high,Sajeda
Smart Jewel,server name issue,Support,high,Jagruti
Smart Jewel,cut off,Support,high,ambrish
Smart Jewel,account entry level issue,Support,high,sarika
SJE Plus,report preview problem,Report,Low,drashti
SJE Plus,order process issue,Support,high,krishna
Smart Jewel,jewellery status report issue,Support,high,Sajeda
Smart Jewel,Tag print issue,Tag,high,drashti
Smart Jewel,report issue,Report,Low,drashti
Smart Jewel,report chages,Report,Low,drashti
SJE Plus,diamond issue not show,Support,V.Urgent,Sajeda
Smart Jewel,mail to krishna,Support,high,krishna
Smart Jewel,ask self repair ,Support,V.Urgent,shubham
Smart Jewel,tag issue,Support,V.Urgent,Heta
Smart Jewel,software problem,Support,high,Heta
Smart Jewel,bag generate issue,Support,V.Urgent,Jagruti
SJE Plus,in tag client code add,Report,Low,drashti
Smart Jewel,hard disk not show,Support,V.Urgent,Jagruti
SJE Plus,Bag Print Design,Report,Low,Krupa
Smart Jewel,in report pan number not show,Report,Low,Jagruti
SJE Plus,Image Issue in software,Support,high,drashti
SJE Plus,return issue,Support,high,drashti
Smart Jewel,report figure worge show,Support,V.Urgent,shubham
Smart Jewel,order issue,Support,high,Sajeda
Smart Jewel,report update issue,Report,Low,drashti
Smart Jewel,some issue,Support,V.Urgent,gaurav
Smart Jewel,in report date issue,Report,Low,Jagruti
SJE Plus,software problem,Support,high,sarika
SJE Plus,order problem,Support,high,Sajeda
SJE Plus,software problem,Support,high,Sajeda
Smart Jewel,print data miss,Report,Low,Jagruti
Smart Jewel,diamond stock issue,Support,high,shubham
Smart Jewel,style master report issue,Report,Low,vipul
Smart Jewel,return to job work issue,Support,high,shubham
SJE Plus,software close,Support,high,yogita
Smart Jewel,entry issue,Support,V.Urgent,sarika
SJE Plus,Report Design as per mail,New Req,Med,Krupa
SJE Plus,report issue,Report,Low,Jagruti
Smart Jewel,closing balance wrong show,Support,V.Urgent,Jagruti
Smart Jewel,jewel code not generate,Support,V.Urgent,krishna
Smart Jewel,software close,Support,V.Urgent,yogita
Smart Jewel,report issue,Report,Low,prakash
Smart Jewel,collection issue,Support,high,shubham
Smart Jewel,labor formula change,Support,V.Urgent,Sajeda
Smart Jewel,ask quotation order,Support,V.Urgent,shubham
Smart Jewel,report editing issue,Support,V.Urgent,Jagruti
Smart Jewel,jewelry memo issue,Support,V.Urgent,Sajeda
Smart Jewel,print out changes,Report,Low,drashti
Smart Rest,quotation image issue,Report,Low,Jagruti
Smart Jewel,melting issue,Support,V.Urgent,shubham
Smart Jewel,repair loss delete issue,Support,high,Sajeda
SJE Plus,bag fainalize not save,Support,V.Urgent,drashti
SJE Plus,Modification Order,bug,V.Urgent,sarika
Smart Jewel,tag format changes,Support,high,Heta
Smart Jewel,quotation invoice procedure,Support,V.Urgent,Sajeda
SJE Plus,report issue,Report,Low,drashti
SJE Plus,user rights issue,Support,med,drashti
Smart Jewel,rate not show proper report,Report,Low,Jagruti
SJE Plus,wip report set,Report,Low,Heta
Smart Jewel,color charge add,Support,V.Urgent,gaurav
SJE Plus,Software update,Report,Low,drashti
Smart Jewel,Export Invoice changes ,Report,Low,drashti
Smart Jewel,report issue,Report,Low,Heta
SJE Plus,14 carat issue,Support,high,gaurav
Smart Jewel,item allow issue,Support,V.Urgent,Heta
Smart Jewel,error show,Support,V.Urgent,Heta
Smart Jewel,quotation issue,Support,V.Urgent,krishna
Smart Jewel,pan number add in labour,Support,high,krishna
Smart Jewel,report correction,Report,Low,Jagruti
Smart Jewel,installation,Support,V.Urgent,yogita
Smart Jewel,style master inward edit issue,Support,high,krishna
Smart Jewel,loss report issue,Support,high,sarika
Smart Jewel,metal issue,Report,Low,krishna
Smart Jewel,split remarks issue,Support,high,krishna
Smart Jewel,ask some issue,Support,V.Urgent,Sajeda
SJE Plus,customer name search issue,Support,high,sarika
Smart Jewel,ask purchase entry,Support,V.Urgent,Sajeda
Smart Jewel,tolerance issue and bag marge,Support,V.Urgent,krishna
Smart Jewel,new year generate,Support,V.Urgent,Jagruti
Smart Jewel,module issue and print issue,Report,Low,drashti
Smart Jewel,report issue,Report,Low,drashti
SJE Plus,purchase issue,Support,V.Urgent,shubham
SJE Plus,Reports Conversion,Report,Low,drashti
SJE Plus,production issue,Support,high,Sajeda
Smart Jewel,order issue,Support,V.Urgent,krishna
Smart Jewel,gold rate formula wrong,Support,V.Urgent,shubham
Smart Jewel,software update,Support,V.Urgent,sarika
Smart Jewel,handling rate allow,Support,V.Urgent,shubham
Smart Jewel,ask purchase issue,Support,V.Urgent,Sajeda
SJE Plus,format sat issue,Report,Low,shubham
Smart Jewel,software update,Support,V.Urgent,yogita
Smart Jewel,new year  generate,Support,V.Urgent,shubham
Smart Jewel,quotation image not show,Support,V.Urgent,drashti
Smart Jewel,ask increase decrees issue,Support,V.Urgent,krishna
Smart Jewel,gst amount wrong show,Support,V.Urgent,sarika
Smart Jewel,jewellery date issue,Support,V.Urgent,krishna
Smart Jewel,sync issue,Support,high,Heta
Smart Jewel,mail not send,Support,high,Sajeda
Smart Jewel,item issue,Support,V.Urgent,krishna
Smart Jewel,ask self repair issue,Support,V.Urgent,Sajeda
SJE Plus,bag prit issue,Report,Low,Heta
Smart Jewel,tag print problem,Report,Low,Jagruti
Smart Jewel,order issue,Support,V.Urgent,sarika
Smart Jewel,design show with image report,Report,Low,Sajeda
Smart Jewel,tag printing add,Report,Low,Jagruti
Smart Jewel,inward issue,Support,high,sarika
Smart Jewel,stock valuation issue,Support,V.Urgent,krishna
Smart Jewel,gross weight issue,Support,V.Urgent,krishna
Smart Jewel,manufacturing issue,Support,V.Urgent,shubham
SJE Plus,in sale book entry not save,Support,high,drashti
Smart Jewel,report not open,Support,V.Urgent,Heta
Smart Jewel,installation,Support,V.Urgent,yogita
Smart Jewel,material stock as on report not open,Report,Low,Heta
Smart Jewel,metal loss amount not show,Support,V.Urgent,shubham
Smart Jewel,installation,Support,high,yogita
Smart Jewel,transaction entry issue,Support,V.Urgent,sarika
Smart Jewel,karigar issue,Support,high,ashit
Smart Jewel,purchase format set,Support,V.Urgent,shubham
SJE Plus,update Inward Diam. Property issue ,Support,V.Urgent,drashti
Smart Jewel,diamond issue report ,Report,Low,drashti
Smart Jewel,return entry level issue,Support,high,shubham
Smart Jewel,export error,Support,V.Urgent,Heta
SJE Plus,bill print data not show ,Report,Low,Heta
SJE Plus,labour invoice metal price not show,Report,Low,Heta
Smart Jewel,packing list problem,Report,Low,sarika
SJE Plus,trial balance issue,Support,high,krishna
SJE Plus,Need WIP combine report As Per Mail,New Req,Med,sarika
SJE Plus,In Memo Ctr+F2 Not Working In Jewellery Memo,bug,V.Urgent,sarika
SJE Plus,Extra Charges Multiple Time Repeat Issue,bug,V.Urgent,sarika
Smart Jewel,labour print changes,Report,Low,drashti
Smart Jewel,installation,Support,V.Urgent,yogita
Smart Jewel,master create birth date and anniversary option not show,Support,V.Urgent,shubham
Smart Jewel,gold purchase voucher issue,Support,V.Urgent,drashti
SJE Plus,memo in igi price issue,bug,high,krishna
Smart Jewel,bag issue,Support,V.Urgent,shubham
Smart Jewel,bag print issue,Report,Low,Heta
